10:13:11:320 [ALWAYS]	GUDE Logging Started
10:13:11:320 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:13:11:320 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:13:11:320 [ERROR]	Initialize resume cache pointer failure
10:13:11:321 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:13:11:321 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:13:14:428 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:13:14:428 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:13:14:428 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:13:14:428 [ERROR]	Initialize resume cache pointer failure
10:13:14:428 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:13:14:428 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
